Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item
Dacia-Duster-1-2-TCe-125-Black-Shadow-4x2-Navi-Klima,Dacia Duster 1 2 TCe 125 Black Shadow 4x2 Navi Klima,"<p>
<strong>Abholadresse</strong>
Kolonnenstr. 31
10829 Berlin
Deutschland<br>
<strong>Fahrzeugzustand</strong>
Unfallfrei<br>
<strong>Kategorie</strong>
SUV / Geländewagen / Pickup<br>
<strong>Herkunft</strong>
Deutsche Ausführung<br>
<strong>Kilometerstand</strong>
11.800 km<br>
<strong>Hubraum</strong>
1.197 cm³<br>
<strong>Leistung</strong>
92 kW (125 PS)<br>
<strong>Kraftstoffart</strong>
Benzin<br>
<strong>Verbrauch</strong><br>
ca. 6,1 l/100km (kombiniert)<br>
ca. 7,3 l/100km (innerorts)<br>
ca. 5,5 l/100km (außerorts)<br>
<strong>CO2-Emission</strong>
ca. 138 g/km (kombiniert)<br>
<strong>Anzahl der Türen</strong>
4/5<br>
<strong>Anzahl Sitzplätze</strong>
5<br>
<strong>Getriebe</strong>
Schaltgetriebe<br>
<strong>Schadstoffklasse</strong>
Euro6<br>
<strong>Umweltplakette</strong>
4 (Grün)<br>
<strong>Erstzulassung</strong>
06/2018<br>
<strong>Anzahl der Fahrzeughalter</strong>
1<br>
<strong>HU</strong>
Neu<br>
<strong>Klimatisierung</strong>
Klimaanlage<br>
<strong>Farbe (Hersteller)</strong>
Marine-Blau<br>
<strong>Farbe</strong>
Blau<br>
<strong>Innenausstattung</strong>
Stoff, Grau<br>
<strong>Weitere Eigenschaften</strong><br>
ABS, Allwetterreifen, Armlehne, Berganfahrassistent, Bluetooth, Bordcomputer, Dachreling, Elektr. Fensterheber, Elektr. Seitenspiegel, Elektr. Wegfahrsperre, ESP, Freisprecheinrichtung, Garantie, Geschwindigkeitsbegrenzer, Isofix, Lederlenkrad, Leichtmetallfelgen, Multifunktionslenkrad, Navigationssystem, Nebelscheinwerfer, Notbremsassistent, Pannenkit, Servolenkung, Sitzheizung, Start/Stopp-Automatik, Tagfahrlicht, Tempomat, Touchscreen, Traktionskontrolle, Tuner/Radio, USB, Zentralverriegelung
</p>",Dacia,,"Marke_Dacia, Typ_SUV, Alter_maximal 5 Jahre,Alter_Alle, Kilometerstand_maximal 20.000 km,Kilometerstand_maximal 50.000 km,Kilometerstand_maximal 80.000 km,Kilometerstand_maximal 100.000 km, Leistung_100 bis 150 PS,Leistung_Alle, Schaltung_Schaltgetriebe, Farbe_Blau, Kraftstoff_Benzin, Zustand_Gebraucht, Preis_Premium (ab 400 €)",WAHR,Deine Abo Dauer,3 Monate,Dein monatliches Kilometerpaket,500 km,,,ADA,0,,0,deny,manual,516,,FALSCH,WAHR,,https://i.ebayimg.com/00/s/NzIwWDEyODA=/z/8loAAOSw6V1fKdN1/$_27.JPG,1,https://i.ebayimg.com/00/s/NzIwWDEyODA=/z/tpMAAOSw40NfKdN1/$_27.JPG,2,https://i.ebayimg.com/00/s/NzIwWDEyODA=/z/aqMAAOSwNZRfKdN1/$_27.JPG,3,https://i.ebayimg.com/00/s/NzIwWDEyODA=/z/p9wAAOSwA75fKdN1/$_27.JPG,4,https://i.ebayimg.com/00/s/NzIwWDEyODA=/z/4sUAAOSwsytfKdN1/$_27.JPG,5,https://i.ebayimg.com/00/s/NzIwWDEyODA=/z/nuAAAOSwn2NfKdN1/$_27.JPG,6,https://i.ebayimg.com/00/s/NzIwWDEyODA=/z/y9AAAOSwW99fKdN1/$_27.JPG,7,https://i.ebayimg.com/00/s/NzIwWDEyODA=/z/Z-EAAOSw75lfKdN2/$_27.JPG,8,https://i.ebayimg.com/00/s/NzIwWDEyODA=/z/4X0AAOSwWJlfKdN1/$_27.JPG,9,https://i.ebayimg.com/00/s/NzIwWDEyODA=/z/IeoAAOSw5AZfKdN1/$_27.JPG,10,https://i.ebayimg.com/00/s/NzIwWDEyODA=/z/BX0AAOSwTKZfKdN2/$_27.JPG,11,https://i.ebayimg.com/00/s/NzIwWDEyODA=/z/YVoAAOSwmkBfKdN1/$_27.JPG,12,https://i.ebayimg.com/00/s/NzIwWDEyODA=/z/SQMAAOSwq1xfKdN1/$_27.JPG,13,https://i.ebayimg.com/00/s/NzIwWDEyODA=/z/8loAAOSw6V1fKdN1/$_27.JPG,14,,,,,,,,,,,,,,,nil
Dacia-Duster-1-2-TCe-125-Black-Shadow-4x2-Navi-Klima,,,,,,,,3 Monate,,1000 km,,,ADA,0,,0,deny,manual,551,,FALSCH,WAHR
Dacia-Duster-1-2-TCe-125-Black-Shadow-4x2-Navi-Klima,,,,,,,,3 Monate,,1500 km,,,ADA,0,,0,deny,manual,585,,FALSCH,WAHR
Dacia-Duster-1-2-TCe-125-Black-Shadow-4x2-Navi-Klima,,,,,,,,3 Monate,,2000 km,,,ADA,0,,0,deny,manual,620,,FALSCH,WAHR
Dacia-Duster-1-2-TCe-125-Black-Shadow-4x2-Navi-Klima,,,,,,,,3 Monate,,2500 km,,,ADA,0,,0,deny,manual,655,,FALSCH,WAHR
Dacia-Duster-1-2-TCe-125-Black-Shadow-4x2-Navi-Klima,,,,,,,,4 Monate,,500 km,,,ADA,0,,0,deny,manual,505,,FALSCH,WAHR
Dacia-Duster-1-2-TCe-125-Black-Shadow-4x2-Navi-Klima,,,,,,,,4 Monate,,1000 km,,,ADA,0,,0,deny,manual,540,,FALSCH,WAHR
Dacia-Duster-1-2-TCe-125-Black-Shadow-4x2-Navi-Klima,,,,,,,,4 Monate,,1500 km,,,ADA,0,,0,deny,manual,574,,FALSCH,WAHR
Dacia-Duster-1-2-TCe-125-Black-Shadow-4x2-Navi-Klima,,,,,,,,4 Monate,,2000 km,,,ADA,0,,0,deny,manual,609,,FALSCH,WAHR
Dacia-Duster-1-2-TCe-125-Black-Shadow-4x2-Navi-Klima,,,,,,,,4 Monate,,2500 km,,,ADA,0,,0,deny,manual,644,,FALSCH,WAHR
Dacia-Duster-1-2-TCe-125-Black-Shadow-4x2-Navi-Klima,,,,,,,,5 Monate,,500 km,,,ADA,0,,0,deny,manual,498,,FALSCH,WAHR
Dacia-Duster-1-2-TCe-125-Black-Shadow-4x2-Navi-Klima,,,,,,,,5 Monate,,1000 km,,,ADA,0,,0,deny,manual,533,,FALSCH,WAHR
Dacia-Duster-1-2-TCe-125-Black-Shadow-4x2-Navi-Klima,,,,,,,,5 Monate,,1500 km,,,ADA,0,,0,deny,manual,568,,FALSCH,WAHR
Dacia-Duster-1-2-TCe-125-Black-Shadow-4x2-Navi-Klima,,,,,,,,5 Monate,,2000 km,,,ADA,0,,0,deny,manual,603,,FALSCH,WAHR
Dacia-Duster-1-2-TCe-125-Black-Shadow-4x2-Navi-Klima,,,,,,,,5 Monate,,2500 km,,,ADA,0,,0,deny,manual,637,,FALSCH,WAHR
Dacia-Duster-1-2-TCe-125-Black-Shadow-4x2-Navi-Klima,,,,,,,,6 Monate,,500 km,,,ADA,0,,0,deny,manual,494,,FALSCH,WAHR
Dacia-Duster-1-2-TCe-125-Black-Shadow-4x2-Navi-Klima,,,,,,,,6 Monate,,1000 km,,,ADA,0,,0,deny,manual,529,,FALSCH,WAHR
Dacia-Duster-1-2-TCe-125-Black-Shadow-4x2-Navi-Klima,,,,,,,,6 Monate,,1500 km,,,ADA,0,,0,deny,manual,563,,FALSCH,WAHR
Dacia-Duster-1-2-TCe-125-Black-Shadow-4x2-Navi-Klima,,,,,,,,6 Monate,,2000 km,,,ADA,0,,0,deny,manual,598,,FALSCH,WAHR
Dacia-Duster-1-2-TCe-125-Black-Shadow-4x2-Navi-Klima,,,,,,,,6 Monate,,2500 km,,,ADA,0,,0,deny,manual,655,,FALSCH,WAHR
Dacia-Duster-1-2-TCe-125-Black-Shadow-4x2-Navi-Klima,,,,,,,,7 Monate,,500 km,,,ADA,0,,0,deny,manual,509,,FALSCH,WAHR
